card_id,customer_id,issuer_code,card_network,card_type,card1,card4,card6
C11923-K1,C11923,21363,visa,debit,21363,visa,debit
C08945-K1,C08945,20806,visa,debit,20806,visa,debit
C03575-K1,C03575,15916,visa,debit,15916,visa,debit
C02354-K1,C02354,19248,visa,debit,19248,visa,debit
C13171-K1,C13171,10114,visa,credit,10114,visa,credit
C04597-K1,C04597,22904,mastercard,debit,22904,mastercard,debit
C00259-K1,C00259,15620,visa,credit,15620,visa,credit
C09998-K1,C09998,14251,visa,debit,14251,visa,debit
C03277-K1,C03277,16376,visa,credit,16376,visa,credit
C11464-K1,C11464,15326,visa,debit,15326,visa,debit
C11227-K1,C11227,22902,visa,credit,22902,visa,credit
C08945-K2,C08945,20806,visa,debit,20806,visa,debit
C12982-K1,C12982,13095,visa,credit,13095,visa,credit
C13440-K1,C13440,22914,mastercard,debit,22914,mastercard,debit
C07220-K1,C07220,22782,visa,credit,22782,visa,credit
C06403-K1,C06403,16488,visa,debit,16488,visa,debit
C00732-K1,C00732,20540,visa,debit,20540,visa,debit
C06403-K2,C06403,16488,visa,debit,16488,visa,debit
C12311-K1,C12311,12283,mastercard,debit,12283,mastercard,debit
C05876-K2,C05876,12947,visa,debit,12947,visa,debit
C07671-K1,C07671,22756,mastercard,debit,22756,mastercard,debit
C05876-K1,C05876,12947,visa,debit,12947,visa,debit
C11082-K1,C11082,23494,visa,credit,23494,visa,credit
C02923-K1,C02923,22606,visa,credit,22606,visa,credit
C13440-K2,C13440,22914,mastercard,debit,22914,mastercard,debit
C13259-K1,C13259,17326,visa,credit,17326,visa,credit
C03667-K1,C03667,18118,mastercard,debit,18118,mastercard,debit
C03651-K1,C03651,10639,mastercard,debit,10639,mastercard,debit
C11227-K2,C11227,22902,visa,credit,22902,visa,credit
C06800-K1,C06800,18895,visa,debit,18895,visa,debit
C07847-K2,C07847,16743,visa,debit,16743,visa,debit
C03042-K1,C03042,15158,mastercard,credit,15158,mastercard,credit
C11923-K2,C11923,21363,visa,debit,21363,visa,debit
C03575-K2,C03575,15916,visa,debit,15916,visa,debit
C01002-K1,C01002,15517,mastercard,credit,15517,mastercard,credit
C09733-K1,C09733,19671,visa,debit,19671,visa,debit
C07987-K1,C07987,11539,visa,credit,11539,visa,credit
C07847-K1,C07847,16743,visa,debit,16743,visa,debit
C09933-K1,C09933,15868,visa,debit,15868,visa,debit
C06208-K1,C06208,12517,mastercard,credit,12517,mastercard,credit
C10112-K1,C10112,11031,american express,credit,11031,american express,credit
C04597-K2,C04597,22904,mastercard,debit,22904,mastercard,debit
C03246-K1,C03246,14633,visa,credit,14633,visa,credit
C11464-K2,C11464,15326,visa,debit,15326,visa,debit
C06059-K1,C06059,13617,visa,debit,13617,visa,debit
C03651-K2,C03651,10639,mastercard,debit,10639,mastercard,debit
C06059-K2,C06059,13617,visa,debit,13617,visa,debit
C13171-K2,C13171,10114,visa,credit,10114,visa,credit
C12311-K2,C12311,12283,mastercard,debit,12283,mastercard,debit
C11891-K1,C11891,18586,mastercard,credit,18586,mastercard,credit
C09933-K2,C09933,15868,visa,debit,15868,visa,debit
C13487-K1,C13487,13250,mastercard,debit,13250,mastercard,debit
C08299-K1,C08299,13026,visa,credit,13026,visa,credit
C12267-K1,C12267,16867,visa,debit,16867,visa,debit
C11847-K1,C11847,21463,visa,credit,21463,visa,credit
C07297-K1,C07297,13729,mastercard,debit,13729,mastercard,debit
C08962-K1,C08962,19468,mastercard,debit,19468,mastercard,debit
C12265-K1,C12265,10010,visa,debit,10010,visa,debit
C08623-K1,C08623,19739,mastercard,credit,19739,mastercard,credit
C12382-K1,C12382,21139,visa,debit,21139,visa,debit
C02354-K2,C02354,19248,visa,debit,19248,visa,debit
C09988-K1,C09988,11242,visa,debit,11242,visa,debit
C08106-K1,C08106,21429,visa,debit,21429,visa,debit
C10434-K1,C10434,17379,visa,credit,17379,visa,credit
C11847-K2,C11847,21463,visa,credit,21463,visa,credit
C08962-K2,C08962,19468,mastercard,debit,19468,mastercard,debit
C04570-K1,C04570,20749,mastercard,credit,20749,mastercard,credit
C03528-K1,C03528,14407,mastercard,debit,14407,mastercard,debit
C06617-K1,C06617,10765,visa,debit,10765,visa,debit
C07671-K2,C07671,22756,mastercard,debit,22756,mastercard,debit
C08623-K2,C08623,19739,mastercard,credit,19739,mastercard,credit
C07987-K2,C07987,11539,visa,credit,11539,visa,credit
C12265-K2,C12265,10010,visa,debit,10010,visa,debit
C12267-K2,C12267,16867,visa,debit,16867,visa,debit
